season,temp,humidity,workingday,atemp,weather,windspeed,holiday,year,month,day,hour,min,sec,log_count
1,9.84,81,0,14.395,1,0.0,0,2011,1,1,0,0,0,2.772588722239781
1,9.02,80,0,13.635,1,0.0,0,2011,1,1,1,0,0,3.6888794541139363
1,9.02,80,0,13.635,1,0.0,0,2011,1,1,2,0,0,3.4657359027997265
1,9.84,75,0,14.395,1,0.0,0,2011,1,1,3,0,0,2.5649493574615367
1,9.84,75,0,14.395,1,0.0,0,2011,1,1,4,0,0,0.0
1,9.84,75,0,12.88,2,6.0032,0,2011,1,1,5,0,0,0.0
1,9.02,80,0,13.635,1,0.0,0,2011,1,1,6,0,0,0.6931471805599453
1,8.2,86,0,12.88,1,0.0,0,2011,1,1,7,0,0,1.0986122886681098
1,9.84,75,0,14.395,1,0.0,0,2011,1,1,8,0,0,2.0794415416798357
1,13.12,76,0,17.425,1,0.0,0,2011,1,1,9,0,0,2.6390573296152584
1,15.58,76,0,19.695,1,16.9979,0,2011,1,1,10,0,0,3.58351893845611
1,14.76,81,0,16.665,1,19.0012,0,2011,1,1,11,0,0,4.02535169073515
1,17.22,77,0,21.21,1,19.0012,0,2011,1,1,12,0,0,4.430816798843313
1,18.86,72,0,22.725,2,19.9995,0,2011,1,1,13,0,0,4.543294782270004
1,18.86,72,0,22.725,2,19.0012,0,2011,1,1,14,0,0,4.663439094112067
1,18.04,77,0,21.97,2,19.9995,0,2011,1,1,15,0,0,4.700480365792417
1,17.22,82,0,21.21,2,19.9995,0,2011,1,1,16,0,0,4.532599493153256
1,18.04,82,0,21.97,2,19.0012,0,2011,1,1,17,0,0,4.204692619390966
1,17.22,88,0,21.21,3,16.9979,0,2011,1,1,18,0,0,3.5553480614894135
1,17.22,88,0,21.21,3,16.9979,0,2011,1,1,19,0,0,3.6109179126442243
1,16.4,87,0,20.455,2,16.9979,0,2011,1,1,20,0,0,3.58351893845611
1,16.4,87,0,20.455,2,12.998,0,2011,1,1,21,0,0,3.5263605246161616
1,16.4,94,0,20.455,2,15.0013,0,2011,1,1,22,0,0,3.332204510175204
1,18.86,88,0,22.725,2,19.9995,0,2011,1,1,23,0,0,3.6635616461296463
1,18.86,88,0,22.725,2,19.9995,0,2011,1,2,0,0,0,2.833213344056216
1,18.04,94,0,21.97,2,16.9979,0,2011,1,2,1,0,0,2.833213344056216
1,17.22,100,0,21.21,2,19.0012,0,2011,1,2,2,0,0,2.1972245773362196
1,18.86,94,0,22.725,2,12.998,0,2011,1,2,3,0,0,1.791759469228055
1,18.86,94,0,22.725,2,12.998,0,2011,1,2,4,0,0,1.0986122886681098
1,17.22,77,0,21.21,3,19.9995,0,2011,1,2,6,0,0,0.6931471805599453
1,16.4,76,0,20.455,2,12.998,0,2011,1,2,7,0,0,0.0
1,16.4,71,0,20.455,3,15.0013,0,2011,1,2,8,0,0,2.0794415416798357
1,15.58,76,0,19.695,2,15.0013,0,2011,1,2,9,0,0,2.995732273553991
1,14.76,81,0,17.425,2,15.0013,0,2011,1,2,10,0,0,3.970291913552122
1,14.76,71,0,16.665,2,16.9979,0,2011,1,2,11,0,0,4.248495242049359
1,14.76,66,0,16.665,2,19.9995,0,2011,1,2,12,0,0,4.532599493153256
1,14.76,66,0,17.425,2,8.9981,0,2011,1,2,13,0,0,4.31748811353631
1,14.76,76,0,17.425,3,12.998,0,2011,1,2,14,0,0,4.07753744390572
1,13.94,81,0,16.665,3,11.0014,0,2011,1,2,15,0,0,4.30406509320417
1,13.94,71,0,16.665,3,11.0014,0,2011,1,2,16,0,0,4.330733340286331
1,13.94,57,0,16.665,1,12.998,0,2011,1,2,17,0,0,4.174387269895637
1,14.76,46,0,16.665,2,22.0028,0,2011,1,2,18,0,0,3.970291913552122
1,13.12,42,0,14.395,1,30.0026,0,2011,1,2,19,0,0,3.4011973816621555
1,12.3,39,0,13.635,1,23.9994,0,2011,1,2,20,0,0,3.091042453358316
1,10.66,44,0,11.365,1,22.0028,0,2011,1,2,21,0,0,3.4339872044851463
1,9.84,44,0,10.605,1,19.9995,0,2011,1,2,22,0,0,2.1972245773362196
1,9.02,47,0,11.365,1,11.0014,0,2011,1,2,23,0,0,2.0794415416798357
1,9.02,44,1,9.85,1,23.9994,0,2011,1,3,0,0,0,1.6094379124341003
1,8.2,44,1,8.335,1,27.9993,0,2011,1,3,1,0,0,0.6931471805599453
1,6.56,47,1,6.82,1,26.0027,0,2011,1,3,4,0,0,0.0
1,6.56,47,1,6.82,1,19.0012,0,2011,1,3,5,0,0,1.0986122886681098
1,5.74,50,1,5.305,1,26.0027,0,2011,1,3,6,0,0,3.4011973816621555
1,5.74,50,1,6.82,1,12.998,0,2011,1,3,7,0,0,4.1588830833596715
1,5.74,50,1,6.06,1,19.0012,0,2011,1,3,8,0,0,5.0369526024136295
1,6.56,43,1,6.82,1,26.0027,0,2011,1,3,9,0,0,4.477336814478207
1,7.38,43,1,8.335,1,16.9979,0,2011,1,3,10,0,0,3.784189633918261
1,8.2,40,1,9.09,1,22.0028,0,2011,1,3,11,0,0,3.9318256327243257
1,9.02,35,1,10.605,1,19.9995,0,2011,1,3,12,0,0,4.110873864173311
